193943ZZZsetCustomProgress:org.rferl.ui.activity.BaseActivity:$r1 = $r0.<org.rferl.ui.activity.BaseActivity: android.widget.ProgressBar d>
193941ZZZonReceive:agm:$i0 = (int) $d0
193935ZZZonReceive:agm:$f0 = virtualinvoke $r2.<android.content.Intent: float getFloatExtra(java.lang.String,float)>("paramProgress", 0.0F)
193940ZZZonReceive:agm:$d0 = 100.0 * $d0
193936ZZZonReceive:agm:$r3 = $r0.<agm: org.rferl.ui.activity.HomeActivity a>
193945ZZZsetCustomProgress:org.rferl.ui.activity.BaseActivity:$r1 = $r0.<org.rferl.ui.activity.BaseActivity: android.widget.ProgressBar d>
193937ZZZonReceive:agm:$d0 = (double) $f0
193939ZZZonReceive:agm:$d0 = 0.1 + $d0
193938ZZZonReceive:agm:$d0 = 0.9 * $d0
