63266ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $r2[0]
63534ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $i0 + 1
63273ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63087ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l4 = $r0.<com.mixpanel.android.viewcrawler.m: long c>
63257ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[$i0]
63278ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63214ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f1 cmpg -7.8F
63375ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = 0.7F * $f1
63458ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63422ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f0 cmpl 139.24F
63411ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 * $f2
63511ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = 0.7F * $f1
63088ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l3 = $l3 - $l4
63074ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63121ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[$i0]
63286ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f0 cmpl 139.24F
63532ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63082ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f0 cmpl 139.24F
63324ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63245ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $r3[$i0]
63238ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 - $f0
63339ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 * $f2
63124ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63218ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f0 cmpl 139.24F
63168ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63196ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r2 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63325ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[$i0]
63540ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 * $f1
63318ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63044ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 - $f0
63531ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = 0.7F * $f1
63359ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l4 = $r0.<com.mixpanel.android.viewcrawler.m: long c>
63281ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63166ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63179ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[$i0]
63443ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = 0.7F * $f1
63551ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f1 cmpl 7.8F
63420ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f0 cmpg 60.840004F
63292ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l3 = $l3 - $l4
63322ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63093ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $r0.<com.mixpanel.android.viewcrawler.m: int a>
63170ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 - $f0
63120ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63323ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $r3[$i0]
63346ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63368ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = 0
63495ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l4 = $r0.<com.mixpanel.android.viewcrawler.m: long c>
63043ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[$i0]
63210ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63205ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63034ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 - $f0
63358ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l3 = $r1.<android.hardware.SensorEvent: long timestamp>
63433ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $r0.<com.mixpanel.android.viewcrawler.m: int a>
63518ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63066ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f2 = $r2[1]
63320ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $i0 + 1
63264ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r2 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63408ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63435ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r2 = $r1.<android.hardware.SensorEvent: float[] values>
63374ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 - $f0
63547ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 * $f2
63512ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63485ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63030ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63350ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f1 cmpg -7.8F
63441ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[$i0]
